STT ; Mã BIN ; Code   ; Tên Tổ chức phát hành thẻ
 1  ; 970400 ;        ; TMCP Sài Gòn Công thương
 2  ; 970403 ;        ; TMCP Sài Gòn Thương tín
 3  ; 970405 ;        ; Nông nghiệp và Phát triển Nông thôn Việt Nam
 4  ; 970406 ;        ; TMCP Đông Á
 5  ; 970407 ;        ; TMCP Kỹ thương
 6  ; 970408 ;        ; Thương mại TNHH MTV Dầu Khí Toàn Cầu
 7  ; 970409 ;        ; TMCP Bắc Á
 8  ; 970410 ;        ; TNHH MTV Standard Chartered
 9  ; 970412 ;        ; TMCP Đại chúng Việt Nam
10  ; 970414 ;        ; TNHH MTV Đại Dương
11  ; 970415 ;        ; TMCP Công thương Việt Nam
12  ; 970416 ;        ; TMCP Á Châu
13  ; 970417 ;        ; TMCP Phương Nam
14  ; 970418 ;        ; Đầu tư và Phát triển Việt Nam
14  ; 970401 ;        ; Đầu tư và Phát triển Việt Nam
15  ; 970419 ;        ; TMCP Quốc dân
16  ; 970421 ;        ; liên doanh Việt Nga
17  ; 970422 ; MB     ; TMCP Quân Đội
18  ; 970423 ; TPB    ; TMCP Tiên Phong
19  ; 970424 ;        ; TNHH MTV Shinhan Việt Nam
20  ; 970425 ;        ; TMCP An Bình
21  ; 970426 ;        ; TMCP Hàng Hải
22  ; 970427 ;        ; TMCP Việt Á
23  ; 970428 ;        ; TMCP Nam Á
24  ; 970429 ;        ; TMCP Sài Gòn
25  ; 970430 ;        ; TMCP Xăng dầu Petrolimex
26  ; 970431 ;        ; TMCP Xuất Nhập khẩu Việt Nam
27  ; 970432 ;        ; TMCP Việt Nam Thịnh Vượng
28  ; 970433 ;        ; TMCP Việt Nam Thương Tín
29  ; 970434 ;        ; TNHH Indovina
30  ; 970436 ;        ; TMCP Ngoại thương Việt Nam
31  ; 970437 ;        ; TMCP Phát triển TP.HCM
32  ; 970438 ;        ; TMCP Bảo Việt
33  ; 970439 ;        ; liên doanh VID PUBLIC BANK
34  ; 970440 ;        ; TMCP Đông Nam Á
35  ; 970441 ;        ; TMCP Quốc Tế Việt Nam
36  ; 970442 ;        ; TNHH MTV Hong Leong Việt Nam
37  ; 970443 ;        ; TMCP Sài Gòn – Hà Nội
38  ; 970444 ;        ; Thương mại TNHH MTV Xây dựng Việt Nam
39  ; 970446 ;        ; Hợp tác xã Việt Nam
40  ; 970448 ;        ; TMCP Phương Đông
41  ; 970449 ;        ; TMCP Bưu điện Liên Việt
42  ; 970452 ;        ; TMCP Kiên Long
43  ; 970454 ;        ; TMCP Bản Việt
44  ; 970455 ;        ; Công nghiệp Hàn Quốc - Chi nhánh Hà Nội
45  ; 970456 ;        ; Industrial Bank of Korea - Chi nhánh Hồ Chí Minh
